arrayType;sortMethod;arraySize;duration;comparisons
reversed_sorted;msd_radix_sort;1200;3604;38761
reversed_sorted;msd_radix_sort_switch;1200;1022;38761
reversed_sorted;std_quicksort;1300;376;18163
reversed_sorted;std_mergesort;1300;326;30142
reversed_sorted;string_quicksort;1300;62858;30142
reversed_sorted;string_mergesort;1300;2258;41456
reversed_sorted;msd_radix_sort;1300;4568;41456
reversed_sorted;msd_radix_sort_switch;1300;1586;41456
reversed_sorted;std_quicksort;1400;511;19466
reversed_sorted;std_mergesort;1400;429;32530
reversed_sorted;string_quicksort;1400;63926;32530
reversed_sorted;string_mergesort;1400;2214;44976
reversed_sorted;msd_radix_sort;1400;4307;44976
reversed_sorted;msd_radix_sort_switch;1400;1294;44976
reversed_sorted;std_quicksort;1500;428;20606
reversed_sorted;std_mergesort;1500;371;34537
reversed_sorted;string_quicksort;1500;79550;34537
reversed_sorted;string_mergesort;1500;2423;47849
reversed_sorted;msd_radix_sort;1500;4560;47849
reversed_sorted;msd_radix_sort_switch;1500;1337;47849
reversed_sorted;std_quicksort;1600;451;21862
reversed_sorted;std_mergesort;1600;395;36670
reversed_sorted;string_quicksort;1600;81467;36670
reversed_sorted;string_mergesort;1600;2919;50943
reversed_sorted;msd_radix_sort;1600;6672;50943
reversed_sorted;msd_radix_sort_switch;1600;2450;50943
reversed_sorted;std_quicksort;1700;546;23004
reversed_sorted;std_mergesort;1700;503;38698
reversed_sorted;string_quicksort;1700;95366;38698
reversed_sorted;string_mergesort;1700;3135;53888
reversed_sorted;msd_radix_sort;1700;6943;53888
reversed_sorted;msd_radix_sort_switch;1700;2019;53888
reversed_sorted;std_quicksort;1800;593;24182
reversed_sorted;std_mergesort;1800;602;42430
reversed_sorted;string_quicksort;1800;108794;42430
reversed_sorted;string_mergesort;1800;3201;58344
reversed_sorted;msd_radix_sort;1800;5535;58344
reversed_sorted;msd_radix_sort_switch;1800;1675;58344
reversed_sorted;std_quicksort;1900;545;25364
reversed_sorted;std_mergesort;1900;505;44336
reversed_sorted;string_quicksort;1900;119771;44336
reversed_sorted;string_mergesort;1900;3200;61193
reversed_sorted;msd_radix_sort;1900;5755;61193
reversed_sorted;msd_radix_sort_switch;1900;1685;61193
reversed_sorted;std_quicksort;2000;555;26467
reversed_sorted;std_mergesort;2000;564;46327
reversed_sorted;string_quicksort;2000;143089;46327
reversed_sorted;string_mergesort;2000;4719;63740
reversed_sorted;msd_radix_sort;2000;7295;63740
reversed_sorted;msd_radix_sort_switch;2000;1836;63740
reversed_sorted;std_quicksort;2100;612;29658
reversed_sorted;std_mergesort;2100;542;50339
reversed_sorted;string_quicksort;2100;147736;50339
reversed_sorted;string_mergesort;2100;5028;68704
reversed_sorted;msd_radix_sort;2100;8509;68704
reversed_sorted;msd_radix_sort_switch;2100;2040;68704
reversed_sorted;std_quicksort;2200;695;33894
reversed_sorted;std_mergesort;2200;614;55464
reversed_sorted;string_quicksort;2200;172791;55464
reversed_sorted;string_mergesort;2200;4080;75282
reversed_sorted;msd_radix_sort;2200;8221;75282
reversed_sorted;msd_radix_sort_switch;2200;3081;75282
reversed_sorted;std_quicksort;2300;919;35120
reversed_sorted;std_mergesort;2300;852;57795
reversed_sorted;string_quicksort;2300;170100;57795
